NAME_OLD,NAME_NEW,PATH_OLD,PATH_NEW
abhayt,abhayt,"""\\192.168.1.9\users\abhayt""","""E:\home\abhayt"""
adaezei,adaezei,"""\\192.168.1.9\users\adaezei""","""E:\home\adaezei"""
Alyssa Maciaszek,alyssam,"""\\192.168.1.9\users\Alyssa Maciaszek""","""E:\home\alyssam"""
angele,angele,"""\\192.168.1.9\users\angele""","""E:\home\angele"""
annaf,annaf,"""\\192.168.1.9\users\annaf""","""E:\home\annaf"""
baoc,baoc,"""\\192.168.1.9\users\baoc""","""E:\home\baoc"""
caseyb,caseyb,"""\\192.168.1.9\users\caseyb""","""E:\home\caseyb"""
clairew,clairew,"""\\192.168.1.9\users\clairew""","""E:\home\clairew"""
dianeb,dianeb,"""\\192.168.1.9\users\dianeb""","""E:\home\dianeb"""
fional,fional,"""\\192.168.1.9\users\fional""","""E:\home\fional"""
gregory,gregorys,"""\\192.168.1.9\users\gregory""","""E:\home\gregorys"""
janel,janel,"""\\192.168.1.9\users\janel""","""E:\home\janel"""
jyotik,jyotik,"""\\192.168.1.9\users\jyotik""","""E:\home\jyotik"""
mikes,mikes,"""\\192.168.1.9\users\mikes""","""E:\home\mikes"""
cnatalyau,natalyau,"""\\192.168.1.9\users\cnatalyau""","""E:\home\natalyau"""
nishants,nishants,"""\\192.168.1.9\users\nishants""","""E:\home\nishants"""
ramyap,ramyap,"""\\192.168.1.9\users\ramyap""","""E:\home\ramyap"""
sallyk,sallyk,"""\\192.168.1.9\users\sallyk""","""E:\home\sallyk"""
vikg,vikg,"""\\192.168.1.9\users\vikg""","""E:\home\vikg"""
kevinl,kevinl,"""\\192.168.1.9\users\kevinl""","""E:\home\kevinl"""
frankz,frankz,"""\\192.168.1.9\users\frankz""","""E:\home\frankz"""
sallyw,sallyw,"""\\192.168.1.9\users\sallyw""","""E:\home\sallyw"""
baobaor,baobaor,"""\\192.168.1.9\users\baobaor""","""E:\home\baobaor"""
emmab,emmab,"""\\192.168.1.9\users\emmab""","""E:\home\emmab"""
jadez,jadez,"""\\192.168.1.9\users\jadez""","""E:\home\jadez"""
jasminew,jasminew,"""\\192.168.1.9\users\jasminew""","""E:\home\jasminew"""
jeaninej,jeaninej,"""\\192.168.1.9\users\jeaninej""","""E:\home\jeaninej"""
joyc,joyc,"""\\192.168.1.9\users\joyc""","""E:\home\joyc"""
kerilg,kerilg,"""\\192.168.1.9\users\kerilg""","""E:\home\kerilg"""
selenel,selenel,"""\\192.168.1.9\users\selenel""","""E:\home\selenel"""
tarynm,tarynm,"""\\192.168.1.9\users\tarynm""","""E:\home\tarynm"""
zhengw,zhengw,"""\\192.168.1.9\users\zhengw""","""E:\home\zhengw"""
